数据集名称,所使用数据量条数,平均绝对误差,均方根误差,决定系数
三文鱼肉,193,19.70630084029101,19.75951958275241,0.0082006629878772
东北大米,26,0.0,0.0,1.0
东北盘锦大米,26,0.0,0.0,1.0
东北长粒香米,26,0.0563596832591075,0.071286669160641,0.2756374276831532
乌鸡蛋,353,0.2287555208903512,0.3068231090269304,0.3549423856651289
乐初非转基因大豆油,26,0.4916347088826154,0.9972019000030784,0.1111110592344456
乔府大院稻花香,26,0.0226554239957305,0.026912099018808,0.6799996825148178
五得利富强粉,59,0.1382763573685721,0.1446994133983446,0.0120704144217584
五得利标准粉,26,0.0295362297159885,0.0341500050464626,0.5334004243612477
五得利特精粉,26,0.0247940517079304,0.037534681069409,0.2437194129309914
五得利雪花粉,26,0.0292899408284026,0.0341988245166239,0.1521476799318659
五花头,353,0.6539352262768968,0.8074896260302125,0.0200188810687731
五花肉,713,0.8380052425795914,1.0221884110023036,0.0006898113852545
五香花生米,26,0.1982849940262359,0.2414515293373344,0.4732161533290255
京丽圆长粒香米,16,0.0219620601173021,0.0262555225238256,0.7058762824537101
亮珠河珍珠米,26,4.440892098500626e-16,4.440892098500626e-16,0.0
亮珠河稻花香米,26,0.0113277119978651,0.0134560495094038,0.6799996825148191
亮珠河长粒香米,26,0.0226554239957306,0.0269120990188078,0.6799996825148187
亿田粮田稻花香,21,8.881784197001252e-16,8.881784197001252e-16,0.0
仔鸡,353,0.2641519034050796,0.317588101948268,0.7717437272764938
仙人掌,27,5.2899581614471,6.924601433163851,0.0134447236690143
元宝富强粉,26,0.0311292940850639,0.0422276197122423,0.2441533848785103
元宝牌大豆油,26,1.8054175266797767,2.611801871127755,0.0416127622821328
元宝特精粉,26,0.0271193317470682,0.0471773693542382,0.0345379715542312
八爪鱼,271,7.143152608736344,8.389384759684525,0.2811144247727083
公梭子蟹,303,16.848916361984866,19.58376735109512,0.5798218252300815
公河蟹,409,5.518356563664732,6.554031033580055,0.0267641736711543
兰花,27,6.362139917695474,7.706387124821144,0.3337312182927511
兰花蟹,171,9.400653588081108,11.51348960098724,0.4887089236951829
兴安盟魏佳大米,26,4.440892098500626e-16,4.440892098500626e-16,0.0
兴安盟魏佳稻花香,26,0.0226554239957302,0.0269120990188077,0.6799996825148191
兴安盟魏佳长粒香,26,0.0113277119978651,0.0134560495094038,0.6799996825148191
农禾香长粒香米,16,0.0,0.0,1.0
冬春笋,25,2.475902229054573,3.631604219982354,0.7703239639828074
冰草,27,0.6459825699199302,0.7979356449845945,0.1184135935641805
凉瓜,27,1.1865569272976682,1.3621979188596376,0.0145013160651384
凤梨,26,1.1237279723771536,1.497810439281425,0.4543128506517024
前肘,353,0.9948844004000028,1.3716112157013491,0.0460514620109949
前臀尖,713,0.7040686758153721,0.8799126893936762,0.0056733477210717
北大荒精洁米,26,0.0,0.0,1.0
北方江米,26,0.0409451485152518,0.047381166891273,0.8131605929502518
南姜,27,0.8267466277657678,0.9590792178908206,0.4217456352074509
南方江米,26,0.0103926309426821,0.0124722000759472,0.7511107604248654
去骨羊前腿,353,1.4164747693196211,1.7164536631609608,0.4666281018120879
去骨羊后腿,353,1.3435110967153046,1.5954665525111726,0.4519162234083197
变蛋,314,0.0122383231245631,0.0179737720848562,0.0026903064136022
古币香油,26,0.0446940644438738,0.0906547181820976,0.1111110592344527
古船东北粳米,26,0.0198816568047338,0.0226905624211408,0.5911108351272593
古船大米,26,0.0,0.0,1.0
古船大豆油,26,0.351875923608598,0.5491253124385636,0.5111748212895277
古船富强粉,59,0.0913358230393564,0.1014960645978901,0.0020218362585304
古船标准粉,26,0.0217800401485455,0.0286434953926213,0.2447929140310283
古船非转基因大豆油,26,1.7371978498492917,2.373250381743443,0.7864104933734383
古船龙粳长粒大米,26,0.066280821488569,0.0798273644275256,0.6587976520501214
后肘,47,0.0672351532199316,0.0835186349206722,0.911658207228307
