ID,平均价
0,16.5
1,16.5
2,16.5
3,16.5
4,16.5
5,16.5
6,16.5
7,16.5
8,16.5
9,16.5
10,16.5
11,16.5
12,16.5
13,16.5
14,16.5
15,16.5
16,16.5
17,16.5
18,16.5
19,16.5
20,16.5
21,16.5
22,16.5
23,16.5
24,16.5
25,16.5
26,16.5
27,16.5
28,16.5
29,16.5
30,16.5
31,16.5
32,16.5
33,16.5
34,16.5
35,16.5
36,16.5
37,16.5
38,16.5
39,16.5
40,16.5
41,16.5
42,16.5
43,16.5
44,16.5
45,16.5
46,16.5
47,16.5
48,16.5
49,16.5
50,16.5
51,16.5
52,16.5
53,16.5
54,16.5
55,16.5
56,16.5
57,16.5
58,16.5
59,16.5
60,16.5
61,16.5
62,16.5
63,16.5
64,16.5
65,16.5
66,16.5
67,16.5
68,16.5
69,16.5
70,16.5
71,16.5
72,16.5
73,16.5
74,16.5
75,16.5
76,16.5
77,16.5
78,16.5
79,16.5
80,16.5
81,16.5
82,16.5
83,16.5
84,16.5
85,16.5
86,16.5
87,16.5
88,16.5
89,16.5
90,16.5
91,16.5
92,16.5
93,16.5
94,16.5
95,16.5
96,16.5
97,16.5
98,16.5
99,16.5
100,16.5
101,16.5
102,16.5
103,16.5
104,16.5
105,16.5
106,16.5
107,16.5
108,16.5
109,16.5
110,16.5
111,16.5
112,16.5
113,16.5
114,16.5
115,16.5
116,16.5
117,16.5
118,16.5
119,16.5
120,16.5
121,16.5
122,16.5
123,16.5
124,16.5
125,16.5
126,16.5
127,16.5
128,16.5
129,16.5
130,16.5
131,16.5
132,16.5
133,16.5
134,16.5
135,16.5
136,16.5
137,16.5
138,16.5
139,16.5
140,16.5
141,16.5
142,16.5
143,16.5
144,16.5
145,16.5
146,16.5
147,16.5
148,16.5
149,16.5
150,16.5
151,16.5
152,16.5
153,16.5
154,16.5
155,16.5
156,16.5
157,16.5
158,16.5
159,16.5
160,16.5
161,16.5
162,16.5
163,16.5
164,16.5
165,16.5
166,16.5
167,16.5
168,16.5
169,16.5
170,16.5
171,16.5
172,16.5
173,16.5
174,16.5
175,16.5
176,16.5
177,16.5
178,16.5
179,16.5
180,16.5
181,16.5
182,16.5
183,16.5
184,16.5
185,16.5
186,16.5
187,16.5
188,16.5
189,16.5
190,16.5
191,16.5
192,16.5
193,16.5
194,16.5
195,16.5
196,16.5
197,16.5
198,16.5
199,16.5
200,16.5
201,16.5
202,16.5
203,16.5
204,16.5
205,16.5
206,16.5
207,16.5
208,16.5
209,16.5
210,16.5
211,16.5
212,16.5
213,16.5
214,16.5
215,16.5
216,16.5
217,16.5
218,16.5
219,16.5
220,16.5
221,16.5
222,16.5
223,16.5
224,16.5
225,16.5
226,16.5
227,16.5
228,16.5
229,16.5
230,16.5
231,16.5
232,16.5
233,16.5
234,16.5
235,16.5
236,16.5
237,16.5
238,16.5
239,16.5
240,16.5
241,16.5
242,16.5
243,16.5
244,16.5
245,16.5
246,16.5
247,16.5
248,16.5
249,16.5
250,16.5
251,16.5
252,16.5
253,16.5
254,16.5
255,16.5
256,16.5
257,17.0
258,17.0
259,17.0
260,17.0
261,17.0
262,17.0
263,17.0
264,17.0
265,17.0
266,17.0
267,17.0
268,17.0
269,17.0
270,17.0
271,17.0
272,17.0
273,17.0
274,17.0
275,17.0
276,17.0
277,17.0
278,17.0
279,17.0
280,17.0
281,17.0
282,17.0
283,17.0
284,17.0
285,17.0
286,17.0
287,17.0
288,17.0
289,16.5
290,15.5
291,15.5
292,15.5
293,15.5
294,15.5
295,15.5
296,15.5
297,15.5
298,15.5
299,15.5
300,15.5
301,15.5
302,15.5
303,15.5
304,15.5
305,15.0
306,15.0
307,15.0
308,15.0
309,15.0
310,15.0
311,15.0
312,15.0
313,15.0
314,15.0
315,15.0
316,15.0
317,15.0
318,15.5
319,15.5
320,15.5
321,15.5
322,15.5
323,15.5
324,15.5
325,15.5
326,15.5
327,15.5
328,15.5
329,15.5
330,15.5
331,15.5
332,15.5
333,15.5
334,15.5
335,15.5
336,15.5
337,15.5
338,15.5
339,15.5
340,15.5
341,15.5
342,15.5
343,15.5
344,15.5
345,15.5
346,15.5
347,15.5
348,15.5
349,15.5
350,15.5
351,15.5
352,15.5
353,15.5
354,16.5
355,16.5
356,16.5
357,16.5
358,16.5
359,16.5
360,16.480642318725586
