ID,平均价
0,7.250000000000001
1,7.250000000000001
2,7.250000000000001
3,7.250000000000001
4,7.250000000000001
5,7.250000000000001
6,7.250000000000001
7,7.250000000000001
8,7.250000000000001
9,7.250000000000001
10,7.250000000000001
11,7.250000000000001
12,7.250000000000001
13,7.250000000000001
14,7.250000000000001
15,7.250000000000001
16,7.250000000000001
17,7.250000000000001
18,7.250000000000001
19,7.250000000000001
20,7.250000000000001
21,7.250000000000001
22,7.250000000000001
23,7.250000000000001
24,7.250000000000001
25,7.250000000000001
26,7.250000000000001
27,7.250000000000001
28,7.250000000000001
29,7.250000000000001
30,7.250000000000001
31,7.250000000000001
32,7.250000000000001
33,7.4
34,7.4
35,7.4
36,7.4
37,7.4
38,7.4
39,7.5
40,7.5
41,7.5
42,7.5
43,7.5
44,7.5
45,7.5
46,7.5
47,7.6
48,7.6
49,7.6
50,7.6
51,7.6
52,7.6
53,7.6
54,7.6
55,7.6
56,7.6
57,7.6
58,7.6
59,7.6
60,7.6
61,7.6
62,7.6
63,7.6
64,7.6
65,7.6
66,7.6
67,7.9
68,7.9
69,7.9
70,7.9
71,7.9
72,7.9
73,7.9
74,7.9
75,7.9
76,7.9
77,7.9
78,8.0
79,8.0
80,8.0
81,8.0
82,8.0
83,8.0
84,8.0
85,8.0
86,8.5
87,8.5
88,8.5
89,8.5
90,8.5
91,8.5
92,8.5
93,8.5
94,8.5
95,8.5
96,8.5
97,8.5
98,8.5
99,8.5
100,8.5
101,8.5
102,8.5
103,8.5
104,8.5
105,8.5
106,8.5
107,8.5
108,8.5
109,8.5
110,8.5
111,8.5
112,8.5
113,8.5
114,8.5
115,8.5
116,8.5
117,8.5
118,8.5
119,8.5
120,8.25
121,8.25
122,8.25
123,8.25
124,8.25
125,8.25
126,8.25
127,8.25
128,8.25
129,8.25
130,8.25
131,8.25
132,8.25
133,8.25
134,8.25
135,8.25
136,8.25
137,8.25
138,8.25
139,8.25
140,8.25
141,8.25
142,8.25
143,8.25
144,8.25
145,8.25
146,8.25
147,8.25
148,8.15
149,8.15
150,8.15
151,8.15
152,8.15
153,8.15
154,8.15
155,8.15
156,8.15
157,8.15
158,8.15
159,8.15
160,8.15
161,8.15
162,8.15
163,8.15
164,8.15
165,8.15
166,8.15
167,8.15
168,8.15
169,8.15
170,8.15
171,8.15
172,8.15
173,8.15
174,8.15
175,8.15
176,8.15
177,8.15
178,8.15
179,8.15
180,8.15
181,8.15
182,8.15
183,8.15
184,8.15
185,8.15
186,8.15
187,8.15
188,8.15
189,8.15
190,8.15
191,8.15
192,8.15
193,8.15
194,8.15
195,8.15
196,8.15
197,8.15
198,8.15
199,8.15
200,8.15
201,8.15
202,8.15
203,8.15
204,8.15
205,8.15
206,8.15
207,8.15
208,8.15
209,8.15
210,8.15
211,8.15
212,8.15
213,8.15
214,8.15
215,8.25
216,8.25
217,8.25
218,8.25
219,8.25
220,8.25
221,8.25
222,8.25
223,8.25
224,8.25
225,8.25
226,8.25
227,8.25
228,8.25
229,8.25
230,8.25
231,8.25
232,8.25
233,8.25
234,8.25
235,8.25
236,8.25
237,8.25
238,8.25
239,8.15
240,8.15
241,8.15
242,8.15
243,8.15
244,8.15
245,8.15
246,8.15
247,8.4
248,8.4
249,8.4
250,8.4
251,8.4
252,8.4
253,8.4
254,8.4
255,8.4
256,8.4
257,8.4
258,8.4
259,8.4
260,8.4
261,8.4
262,8.4
263,8.4
264,8.4
265,8.4
266,8.4
267,8.4
268,8.4
269,8.4
270,8.4
271,8.4
272,8.4
273,8.4
274,8.4
275,8.4
276,8.4
277,8.4
278,8.4
279,8.4
280,8.5
281,8.5
282,8.5
283,8.5
284,8.5
285,8.5
286,8.5
287,8.5
288,8.5
289,8.5
290,8.5
291,8.5
292,8.5
293,8.25
294,8.25
295,8.25
296,8.25
297,8.25
298,8.25
299,8.25
300,8.25
301,8.25
302,8.25
303,8.25
304,7.75
305,7.75
306,7.75
307,7.75
308,7.75
309,7.75
310,7.75
311,7.75
312,7.75
313,7.75
314,7.75
315,7.75
316,7.75
317,7.75
318,7.75
319,7.75
320,7.75
321,7.75
322,7.75
323,7.75
324,7.75
325,7.650000000000001
326,7.650000000000001
327,7.650000000000001
328,7.650000000000001
329,7.650000000000001
330,7.650000000000001
331,7.650000000000001
332,7.650000000000001
333,7.650000000000001
334,7.650000000000001
335,7.650000000000001
336,7.650000000000001
337,7.650000000000001
338,7.650000000000001
339,7.650000000000001
340,7.650000000000001
341,7.650000000000001
342,7.650000000000001
343,7.650000000000001
344,7.650000000000001
345,7.650000000000001
346,7.650000000000001
347,7.650000000000001
348,7.650000000000001
349,7.650000000000001
350,7.650000000000001
351,7.650000000000001
352,7.650000000000001
353,7.650000000000001
354,7.650000000000001
355,7.650000000000001
356,7.650000000000001
357,7.650000000000001
358,7.650000000000001
359,7.650000000000001
360,7.801270484924316
